clean_text,labels
t1 믿는다,3
철구 ㄷㄷ,5
와 크로코,5
쇼메이커 개못하네,1
라이즈냐?,1
칼릭스 서드 확정 땅땅,0
적당히 못해라 T1,0
시청자 19만인데 버그떄문에 9만 뜨는거죠?,5
구마유시 뭐야!!,5
페이커는 이제 안되겠네,4
구마유시 보내고 땅우양 넣자,0
룰러가 지렷는데 이거,5
대 창 섭,3
와,5
스윗란도,3
향 락 사,1
아 불독 카운터만났네 ㅋㅋ,3
푸짐하게 싸는구나,0
냠냠,3
오로라 바로 터진거 에바야,0
한화고장났노ㅋㅋ,3
제우스 아트록스가 벌써 나오네..,5
호주 거미 리헨즈,5
아 제카 빅토르 못하는데 큰일났네,2
신 디 디,3
김제샬레2차아파트에사는 서민혁 보고있나?,3
아 치킨 식는다!,0
듀황,5
대 니 언,5
티원은 언니 팬들이 확실히 이쁘네,3
와.. 쵸비 원툴팀,5
미드차이,0
ㄷㄷ,5
짱,3
전패로드 막은 농심,1
한어강,2
18대0 ㄲㅂ,1
ㅋ,3
아쉬운거지 왜 욕을해,0
물고 뜯고 깨물고 씹고 맛보고,3
클릭해주셔서 감사합니다,3
디아블 겜끝난줄알고 나대다가 우물레이저에 게임 여기까지 옴 ㅋㅋ,1
노틸 레전드네 진짜 ㅋㅋ,1
고장났다,4
이거 크다,5
와 이렇게 싵팅해주고 께임 지면 어쩌려고,5
근하하,3
ㅋㅋ,3
데오크담..힘내봐,4
블츠킬 나이스,3
오늘 브금 뭔데ㅋㅋ 운치있네,3
구마유시 걱정할필요가없음 너네 인생이 더 걱정됨 ㅋㅋ 이건 쌉팩트 ㅋㅋ구마유시 망했니 할필요가 없음 진짜 망한건 너네 인생임 ㅋㅋ,0
그냥 진 ㅅ캐리임 ㄹㅇ,3
왜 안 끝나?,0
티모픽을안하네,4
비겁나많이온다,5
제발??ㅋㅋ 해설 편하함??,0
ㅋㅋ오,3
2ㄷ0티원 승리 1세트 도란 pog 2세트 구마유시 pog 13 50 티원에서 솔킬,3
누가 이기려나,2
대 황 비,3
아리가 잘쪼이긴 하네,5
초비는 페이커를 따라서 노스킨씁니다.,3
농심 팬분들 속상하겠다,4
신선생 !! 원딜의 신 코어 차이 말이 안되네,5
아니 진짜 아타캉 왜핌,0
익룡들 멸종 ㅅㅅ,3
오ㅋㅋ,3
스펠 하나도 안빠져서 아지르 궁각 없었는데,0
잘생기긴 했네,3
ㅈㅂ 이기자 한화야ㅔ,2
참교육은 켈황 ㅋㅋ,3
아니 수준 왜이러노,0
bfx가 빠르게 2대떡으로 이기고 t1경기보자,3
원딜 3개벤이면 딴라인에서 좀이득봐야지본전인데,0
오너 아니면 구마,3
와,5
근데 어짜피 젠티한 못이길듯,4
유나라 풀어봤다가 호되게 맞는구만 데이터 쌓자,4
채팅하던 애들 어디 갔냐,4
라이즈 5위와 1위.. 라이즈.. 도파민.. 세상에.. 라이즈의 왕은 누구인가..,5
코포동포동,3
표식머하노?,0
프린스 살인스텝 밟히겠는데?,2
라솔면저ㄷㄷ,5
티원은 왜 벤픽항상 개떡같냐,0
와 이럴거면 젠지 왜 이겻냐,0
도란 주사위 6,3
쵸비 요네도 잘하네 이러고있네 쵸비 최고점케릭중하나가 쵸네인데,0
못보겠다 진짜,1
바루스 얼마만에 나온거냐,5
선수 산다고 우승하는거 아님,4
오늘 POM 쵸비 입니다 미래에서 왔습니다,3
와 ㅋㅋ 킹슬레이어,5
ㅈㄱㅊㅇ,0
구마가 이즈도 더 잘하는 듯,3
